"id","name","city_id"
"1300409005",Nossa Senhora Aparecida,"1300409"
"1300607002",Coimbra,"1300607"
"1300680003",Boiúna,"1300680"
"1300706003",Fortaleza,"1300706"
"1300839002",São Raimundo,"1300839"
"1300839012",Vila Franco,"1300839"
"1301001010",Ramalhão,"1301001"
"1301159001",Centro,"1301159"
"1301209005",Itamarati,"1301209"
"1301407004",Nossa Senhora Aparecida,"1301407"
"1301654001",Centro Cultural,"1301654"
"1301704004",São Sebastião,"1301704"
"1301803001",Centro,"1301803"
"1301803011",Iolanda Regina da Silva,"1301803"
"1301902010",Araújo Costa,"1301902"
"1301902018",Eduardo Braga II,"1301902"
"1301951001",Centro,"1301951"
"1302306002",São José I,"1302306"
"1302405004",Barra Limpa,"1302405"
"1302504004",Liberdade,"1302504"
"1302553003",Ajuricaba,"1302553"
"1302603005",Cachoeirinha,"1302603"
"1302603015",Planalto,"1302603"
"1302603025",Santa Luzia,"1302603"
"1302603036",Dom Pedro I,"1302603"
"1302603046",Colônia Terra Nova,"1302603"
"1302603056",Jorge Teixeira,"1302603"
"1302702003",Rocinha,"1302702"
"1302702013",Andaraí,"1302702"
"1302900007",do Éden,"1302900"
"1303205001",Centro,"1303205"
"1303205011",Novo Horizonte,"1303205"
"1303403001",Centro,"1303403"
"1303403011",São Benedito,"1303403"
"1303502001",Cidade Baixa (Centro),"1303502"
"1303536002",Honório Roldão,"1303536"
"1303536012",Waimiri,"1303536"
"1303700009",Planalto,"1303700"
"1303908007",Colônia São Sebastião,"1303908"
"1303957008",Pólo Industrial Moveleiro,"1303957"
"1304062004",Brilhante,"1304062"
"1304062014",Vila Verde,"1304062"
"1304104007",Rio Ipixuna-Em Implantação,"1304104"
"1304203010",São José,"1304203"
"1304203020",Abial,"1304203"
"1304302008",Divino dos Inocentes,"1304302"
"1304401007",Tabocal,"1304401"
"1400100010",Treze de Setembro,"1400100"
"1400100020",Asa Branca,"1400100"
"1400100030",Jardim Equatorial,"1400100"
"1400100040",Pintolândia,"1400100"
"1400100050",Olímpico,"1400100"
"1500107005",Santa Rosa,"1500107"
"1500305001",Capim Marinho,"1500305"
"1500602010",Premem,"1500602"
"1500602019",Nova Altamira,"1500602"
"1501402010",Fátima,"1501402"
"1501402021",Barreiro,"1501402"
"1501402031",Aurá,"1501402"
"1501402041",Agulha,"1501402"
"1501402051",Brasília,"1501402"
"1501402061",Porto Arthur,"1501402"
"1501402071",Baía do Sol,"1501402"
"1501501010",Liberdade,"1501501"
"1501709005",Padre Luís,"1501709"
"1501782004",Bela Vista,"1501782"
"1502103005",Marambaia,"1502103"
"1502707009",Jardim Petrópolis,"1502707"
"1502707019",Centro,"1502707"
"1502855004",Nova Floresta,"1502855"
"1503002005",Morumbi,"1503002"
"1503606002",Bom Jardim,"1503606"
"1503606012",Jardim das Araras,"1503606"
"1503606022",Vale do Piracanã,"1503606"
